lexeme_id	lemma	ipa	pos	features	etymology	sense_id	definition	usage	notes
L-0001	ha	ha	V	root=h;root_shape=mono;grades=a/u/i/e;alignment=transitive;voice=restricted	inherited root *h	L-0001-S01	say; speak; voice an utterance	Core speech verb.	Preserved from the experimental bootstrap.
L-0002	pa	pa	V	root=p;root_shape=mono;grades=a/u/i/e;alignment=fluid_s;bias=active	inherited root *p	L-0002-S01	breathe; emit or expel from a source	Core emission/breathing verb.	Fluid-S; active construal is the default.
L-0003	ma	ma	V	root=m;root_shape=mono;grades=a/u/i/e;alignment=stative_biased	inherited root *m	L-0003-S01	sleep; rest	Ordinarily inactive/stative.	Agentive-S requires exceptional deliberate-control coercion.
L-0004	na	na	V	root=n;root_shape=mono;grades=a/u/i/e;alignment=stative_biased	inherited root *n	L-0004-S01	live; grow	Life/growth predicate.	Ordinarily inactive/stative; agentive-S requires exceptional deliberate-maintenance coercion.
L-0005	ra	ra	V	root=r;root_shape=mono;grades=a/u/i/e;alignment=fluid_s;bias=active	inherited root *r	L-0005-S01	move; go	Direction-neutral motion root.	Fluid-S; active construal is the default and phase/case supply path orientation.
L-0006	ka	ka	V	root=k;root_shape=mono;grades=a/u/i/e;alignment=transitive;voice=mid_refl_productive	inherited root *k	L-0006-S01	handle; move or transfer by handling	Broad manipulation/transfer verb.	Productively licenses MID/REFL uses.
L-0007	pisa	ˈpisa	V	root=ps;root_shape=biconsonantal;grades=a/u/i/e;alignment=transitive;voice=restricted	inherited root *ps; epenthetic i repairs the root cluster	L-0007-S01	eat; consume	Core consumption verb.	Citation form is the nonfinite a-grade.
L-0008	sja	sja	V	root=se;root_shape=lexical_vowel;grades=a/u/i/e;alignment=transitive;voice=restricted	inherited lexical-vocalic root *se; *se-a > sja	L-0008-S01	see; witness	Perception and direct-witnessing verb.	Regular grade surfaces are sja NF, sju REAL, së IRREAL, sê DEP.
L-0009	sina	ˈsina	V	root=sn;root_shape=biconsonantal;grades=a/u/i/e;alignment=stative_default;active=deliberate_recall	inherited root *sn; epenthetic i repairs the root cluster	L-0009-S01	know; remember	Stative for possessed knowledge/memory; agentive for deliberate recall or attention.	The alignment alternation is lexical-semantic, not a separate derivation.
L-0010	mita	ˈmita	V	root=mt;root_shape=biconsonantal;grades=a/u/i/e;alignment=transitive;voice=restricted	inherited root *mt; epenthetic i repairs the root cluster	L-0010-S01	make; shape; form	Core manufacture/formation verb.	Ordinary transitive alignment.
L-0011	tira	ˈtira	V	root=tr;root_shape=biconsonantal;grades=a/u/i/e;alignment=transitive;mid=productive_anticausative	inherited root *tr; epenthetic i repairs the root cluster	L-0011-S01	cut; split	Alteration verb.	Productively licenses MID anticausatives.
L-0012	sika	ˈsika	V	root=sk;root_shape=biconsonantal;grades=a/u/i/e;alignment=transitive;mid=productive_anticausative	inherited root *sk; epenthetic i repairs the root cluster	L-0012-S01	burn; cook	Thermal alteration verb.	Productively licenses MID anticausatives.
L-0013	tina	ˈtina	V	root=tn;root_shape=biconsonantal;grades=a/u/i/e;alignment=transitive;voice=mid_refl_productive	inherited root *tn; epenthetic i repairs the root cluster	L-0013-S01	join; gather	Connection/assembly verb.	Productively licenses middle/reflexive VAL.RED uses.
L-0014	mara	ˈmara	V	root=mar;root_shape=biconsonantal;grades=a/u/i/e;alignment=fixed_stative	inherited root *mar	L-0014-S01	be big; be much; be great in amount	Stative property verb.	Adjectival uses are ordinary stative-verb constructions.
L-0015	sena	ˈsena	V	root=sen;root_shape=biconsonantal;grades=a/u/i/e;alignment=fixed_stative	inherited root *sen	L-0015-S01	be good; fit; suitable	Stative evaluative/fit predicate.	Fixed inactive/stative alignment.
L-0016	hura	ˈhura	V	root=hur;root_shape=biconsonantal;grades=a/u/i/e;alignment=fixed_stative	inherited root *hur	L-0016-S01	be cold	Temperature predicate.	Fixed inactive/stative alignment.
L-0017	nar	nar	N	class=ANIMATE;theme=i;apocope=ABS.SG;residual=yes	Pre-Proto *nar-i; word-final theme lost in ABS.SG	L-0017-S01	person; human being	High-frequency generic human noun.	Suffixation protects the inherited i-theme; SOCIAL DAT/COM output remains separately unspecified.
L-0018	pir	pir	N	class=ANIMATE;theme=i;apocope=ABS.SG	Pre-Proto *pir-i; word-final theme lost in ABS.SG	L-0018-S01	child; young person	Ordinary animate noun.	Inflected forms retain the inherited i-theme where protected.
L-0019	suru	ˈsuru	N	class=LAND/WATER;theme=u	inherited *sur-u	L-0019-S01	water	Basic environmental noun.	LAND/WATER conservative theme behavior applies.
L-0020	kasu	ˈkasu	N	class=LAND/WATER;theme=u;paired=L-0021	inherited root *kas with LAND/WATER theme *-u	L-0020-S01	wild or naturally occurring fire	Environmental/domain construal of fire.	Contrasts with MADE kas for controlled/hearth fire.
L-0021	kas	kas	N	class=MADE;theme=zero;class_shift_from=L-0020	class-shifted *kas with MADE zero theme	L-0021-S01	hearth fire; controlled fire	Fire construed as maintained or technologically controlled.	Productive construal pair with LAND/WATER kasu.
L-0022	tam	tam	N	class=ANIMATE;theme=i;apocope=ABS.SG;inalienable=yes	Pre-Proto *tam-i; word-final theme lost in ABS.SG	L-0022-S01	hand	Living body-part noun.	Inalienable possession is ordinary; processed detached material may shift to MADE.
L-0023	kir	kir	N	class=ANIMATE;theme=i;apocope=ABS.SG;inalienable=yes;natural_pair=yes	Pre-Proto *kir-i; word-final theme lost in ABS.SG	L-0023-S01	eye	Living body-part noun and canonical natural-pair noun.	Dual denotes the coherent pair in ordinary contexts.
L-0024	pana	ˈpana	N	class=GROWING;theme=a;paired=L-0025	inherited root *pan with GROWING theme *-a	L-0024-S01	tree; living tree	Growing-source construal.	Contrasts with MADE pan wood/timber.
L-0025	pan	pan	N	class=MADE;theme=zero;class_shift_from=L-0024	class-shifted *pan with MADE zero theme	L-0025-S01	wood; timber	Extracted/usable material construal of the tree root.	Demonstrates GROWING to MADE class shift.
L-0026	mur	mur	N	class=LAND/WATER;theme=u;apocope=ABS.SG	Pre-Proto *mur-u; word-final theme lost in ABS.SG	L-0026-S01	stone; rock	Basic landscape/material noun.	Inflection protects the u-theme in conservative LAND/WATER cells.
L-0027	nuru	ˈnuru	N	class=LAND/WATER;theme=u;conservative_PERL=mi;residual=yes	inherited *nur-u; route use preserves conservative PERL *-mi	L-0027-S01	river; flowing watercourse	Basic landscape noun.	INS is nurum; conservative route PERL is nurumi.
L-0027	nuru	ˈnuru	N	class=LAND/WATER;theme=u;conservative_PERL=mi;residual=yes	semantic extension from river corridor to conventional route	L-0027-S02	river-route; travel corridor following a river	Culturally conventional path sense.	Same lexeme as RIVER, not a separate route noun.
L-0028	saru	ˈsaru	N	class=LAND/WATER;theme=u	inherited *sar-u	L-0028-S01	sea; coastal sea	Maritime environmental noun.	LAND/WATER class.
L-0029	karu	ˈkaru	N	class=LAND/WATER;theme=u	inherited *kar-u	L-0029-S01	upland; high country	Landscape noun.	LAND/WATER class.
L-0030	tana	ˈtana	N	class=GROWING;theme=a;paired=L-0031	inherited root *tan with GROWING theme *-a	L-0030-S01	forest vegetation; living forest growth	Vegetational construal of forest.	Contrasts with LAND/WATER tanu forest tract.
L-0031	tanu	ˈtanu	N	class=LAND/WATER;theme=u;paired=L-0030	inherited root *tan with LAND/WATER theme *-u	L-0031-S01	forest tract; woodland territory	Landscape/territorial construal of forest.	Same semantic root as GROWING tana.
